"Speaker Name","Start Time","End Time","Text"
"Unknown","00:34:46:14","00:34:57:01","But I do think the fact is we've got three years of Labour government now, and I think we do need our to do our best to slap them into some semblance of sense."
"Unknown","00:34:57:01","00:35:03:10","So that's it. Go out, vote for the Greens. I'll be doing it. But when you do vote for the Greens, don't allow that to be a factional."
"Unknown","00:35:03:11","00:35:05:18","We hate Labour. We hate everybody else thing."
"Unknown","00:35:05:20","00:35:28:12","If you want wealth taxes or if you don't want a Reform government, you need to be working on building unity, building understanding and more importantly, building a central economic message. And we are pitching strongly. And I think it's becoming clearer if you look around the world, the only economic message that people can unite around on the economy, other than the far right message is the problem is inequality."
"Unknown","00:35:28:13","00:35:35:22","The problem is billionaires. It will be solved by taxing the rich. All right. So thank you very much. I'll be going to vote for this afterwards."
"Unknown","00:35:35:24","00:35:54:00","I'll be going to France this week on Sunday to meet with Gabriel Zucman, who is, I believe, the global leader on the design of wealth taxes, a prestigious academic economist, and also to promote the French translation of my book, which I don't have a copy, but will maybe flash you like a little photo of up here."
"Unknown","00:35:54:03","00:36:06:03","I’m really looking forward to it. If you are worried about my either pissing off Labour or pissing off the greens, which are both risks in the way that I presented this video,"
"Unknown","00:36:06:05","00:36:20:18","do support us to hire a lobbyist. I think that's the thing that we need. I think the big thing that we've really missed in the last couple of years is we've been so successful on social media, but somehow, like Labour have managed to like, not notice."
"Unknown","00:36:20:19","00:36:46:09","And I think as much as I'd like to point the finger at Labour and say, what are you doing? The fact is we have not been very good at lobbying. I've been incredibly busy. Lobbying, charming people, it's not my forte, but I do think we need a bit of professional support, because I'll be totally honest with you. I'm worried because I think Labour, unfortunately, are going to die on their asses out there."
"Unknown","00:36:46:13","00:36:51:01","And there'll be people, probably a lot of people watching this video that will be happy to see that."
"Unknown","00:36:51:01","00:37:04:24","And, you know, there might be an element of schadenfreude from me when I see how much they refuse to speak to me. But the truth is, I don't think Labour collapsing is good. I think if Labour collapse, it significantly increases the chance of a Reform government."
"Unknown","00:37:05:05","00:37:18:12","And if we get Reform government, then that's eight years of no wealth taxes. So listen, stop hating each other. Start supporting each other, support our channel, support the Patreon tax wealth not work. And remember to vote this week. Thank you very much. See you next week."
